OS,Platform,CPU Cores,RAM,GPU Vendor,GPU,Resolution,Browser,IP Address,Continent,Country,Region,City,Organisation,ISP,Latitude,Longitude,Accuracy,Altitude,Direction,Speed
Android 9,Linux armv8l,8,4,ARM,Mali-G72 MP3,360x720,Chrome/77.0.3865.116,157.39.31.183,Asia,India,Punjab,Ludhiana,RJIL Internet,Reliance Jio Infocomm Limited,30.7324958 deg,76.7463588 deg,1039 m,Not Available,Not Available,Not Available
30.7324958 deg,76.7463588 deg,1039 m,Not Available,Not Available,Not Available
30.7324958 deg,76.7463588 deg,1039 m,Not Available,Not Available,Not Available
30.7324958 deg,76.7463588 deg,1039 m,Not Available,Not Available,Not Available
30.7324958 deg,76.7463588 deg,1039 m,Not Available,Not Available,Not Available
30.7324958 deg,76.7463588 deg,1039 m,Not Available,Not Available,Not Available
30.7324958 deg,76.7463588 deg,1039 m,Not Available,Not Available,Not Available
